BAC,Bank of America Corp,Banks - Major Regional,15.24
FB,Facebook Inc,Internet - Services,58.15
NOK,Nokia Corp,Wireless Equipment,7.43
BSBR,Banco Santander Brasil Sa,Banks - Foreign,6.58
SIRI,Sirius XM Radio Inc,Broadcast - Radio & TV,3.07
S,Sprint Corporation Series 1,Diversified Comm Services,8.27
PFE,Pfizer Inc,Large Cap Pharma,31.76
PLUG,Plug Power Inc,Machinery - Electrical,4.81
BSX,Boston Scientific Corp,Medical Products,12.73
MSFT,Microsoft Corp,Computer - Software,40.51
YHOO,Yahoo! Inc,Internet - Services,35.83
TWTR,Twitter Inc,Internet - Software,42.62
GE,General Electric Company,Conglomerates - Div Operations,26.76
F,Ford Motor Company,Auto - Domestic,16.12
PBR,Petroleo Brasileiro S.A.- Petrobras,Emerging Markets Integrated,14.14
ZNGA,Zynga Inc,Gaming,3.95
RAD,Rite Aid Corp,Retail - Drug Stores,7.09
HBAN,Huntington Bancshares Inc,Banks - Midwest,9.05
INTC,Intel Corp,Semi General,26.48
NRF,Northstar Realty Finance,Real Estate Operations,15.9
FTR,Frontier Communications Corp,Wireline Regional,5.85
MGM,MGM Resorts International,Gaming,24.98
COH,Coach Inc,Textile - Apparel,45.71
VALE,Vale S.A.,Mining - Iron,13.36
T,AT&T Inc,Diversified Comm Services,35.42
MU,Micron Technology,Semi Memory,25.1
GOGO,Gogo Inc,Wireless National,13.12
KO,Coca-Cola Company,Beverages - Soft,40.57
EMC,EMC Corp,Computer - Storage Devices,25.41
CMCSA,Comcast Corp,Cable TV,51.55
C,Citigroup Inc,Banks - Major Regional,48.16
GILD,Gilead Sciences,Medical - Biomedical,76.24
VZ,Verizon Communications Inc,Diversified Comm Services,46.77
GT,Goodyear Tire & Rubber Company,Rubber Tires,25.11
P,Pandora Media Inc,Internet - Services,23.92
PBR.A,Petroleo Brasileiro S.A.- Petrobras,Emerging Markets Integrated,14.94
BBD,Banco Bradesco Sa,Banks - Foreign,15.01
DDD,3D Systems Corp,Computer - Mini,44.8
ITUB,Itau Unibanco Banco Holding Sa,Banks - Foreign,16.41
ORCL,Oracle Corp,Computer - Software,40.11
JCP,J.C. Penney Company Inc,Retail - Regional Dept Stores,8.82
WFC,Wells Fargo & Company,Banks - Major Regional,49.47
AMD,Advanced Micro Devices,Electronics - Semiconductors,4.03
CSCO,Cisco Systems,Computer - Networks,23.16
AMAT,Applied Materials,Semi-Eqpt Wafer Fabrication,19.07
EBAY,Ebay Inc,Internet Commerce,54.54
TSM,Taiwan Semiconductor Manufacturing,Semi Fab Foundries,20.1
MRK,Merck & Company,Large Cap Pharma,58.72
JPM,JP Morgan Chase & Co,Banks - Major Regional,56.1
ANR,Alpha Natural Resources,Coal,4.36
GRPN,Groupon Inc,Internet Commerce,7.09
BMY,Bristol-Myers Squibb Company,Large Cap Pharma,49.32
AZN,Astrazeneca Plc,Large Cap Pharma,77.11
HPQ,Hewlett-Packard Company,Computer - Mini,32.96
XRX,Xerox Corp,Office Automation & Equipment,12.11
GM,General Motors Company,Auto - Domestic,33.99
AAPL,Apple Inc,Computer - Micro,592.33
JBLU,Jetblue Airways Corp,Transportation - Airline,7.77
FITB,Fifth Third Bancorp,Banks - Major Regional,20.48
FCEL,Fuelcell Energy,Other Alt Energy,2.18
RFMD,RF Micro Devices,Wireless National,8.09
BBRY,Blackberry Limited,Wireless Non-US,7.67
CX,Cemex S.A.B. De C.V. Sponsored,Building - CMT & CNT & AG,12.49
COG,Cabot Oil & Gas Corp,Oil - US Exploration & Product,39.13
BRCM,Broadcom Corp,Semi Communications,30.67
GLW,Corning Inc,Communications Components,20.86
ABX,Barrick Gold Corp,Mining - Gold,17.67
ARCP,American Realty Capital Propert,REIT - Equity Trust Retail,12.93
SAN,Banco Santander,Banks - Foreign,9.82
AA,Alcoa Inc,Mining - Non Ferrous,13.44
DOW,DOW Chemical Company,Chemical - Diversified,48.7
NEM,Newmont Mining Corp,Mining - Gold,25.02
ABEV,Ambev S.A.,Beverages - Alcohol,7.64
KEY,Keycorp,Banks - Major Regional,13.48
ODP,Office Depot,Retail - Misc & Diversified,4.03
MS,Morgan Stanley,Finance - Investment Brokers,30.52
FOXA,21St Century Fox Class A,Movie & TV Production & Dist,32.01
CRM,Salesforce.Com Inc,Computer - Software,50.76
YNDX,Yandex N.V.,Internet - Content,25.59
XOM,Exxon Mobil Corp,Oil - International Integrated,101.45
DAL,Delta Air Lines Inc,Transportation - Airline,36.74
BTU,Peabody Energy Corp,Coal,18.55
BLDP,Ballard Power Systems,Electronics - Misc Components,3.7
NVAX,Novavax Inc,Medical - Biomedical,4.49
UAL,United Continental Holdings,Transportation - Airline,41.56
AUY,Yamana Gold,Mining - Gold,7.64
WFT,Weatherford International Ltd,Oil Field Machinery & Equip,20.76
KWK,Quicksilver Resources Inc,Oil - US Exploration & Product,3.29
FCX,Freeport-Mcmoran Copper & Gold,Mining - Non Ferrous,34.44
IPG,Interpublic Group of Companies,Advertising Marketing Services,17.14
CDNS,Cadence Design Systems,Computer - Software,15.46
AAL,American Airlines Group Inc.,Transportation - Airline,35.51
LVS,Las Vegas Sands,Gaming,78.62
SPLS,Staples Inc,Retail - Misc & Diversified,12.4
PGR,Progressive Corp,Insurance - Proprty & Casualty,24.06
MDLZ,Mondelez International Inc. Cl A,Food - Misc & Diversified,35.6
MO,Altria Group,Tobacco,40.12
HAL,Halliburton Company,Oil - Field Services,63.01
HIG,Hartford Financial Services Group,Insurance - Multi Line,35.16
AVP,Avon Products,Cosmetics & Toiletries,15.16
NLY,Annaly Capital Management Inc,REIT - Mortgage Trusts,11.35
VLO,Valero Energy Corp,Oil - Refining and Marketing,56.84
QCOM,Qualcomm Inc,Wireless Equipment,78.52
AIG,American International Group,Insurance - Multi Line,52.81
AGNC,American Capital Agency,REIT - Mortgage Trusts,22.4
JNJ,Johnson & Johnson,Large Cap Pharma,101.03
YELP,Yelp Inc,Internet - Content,58.92
MRO,Marathon Oil Corp,Oil - US Integrated,36.9
ADM,Archer-Daniels-Midland Company,Agriculture Operations,43.23
TXN,Texas Instruments Inc,Semi General,46.12
ARIA,Ariad Pharmaceuticals,Medical - Drugs,7.33
SUNE,Sunedison Inc,Electronics - Semiconductors,19.31
BP,BP P.L.C.,Oil - International Integrated,50.29
EXC,Exelon Corp,Utility - Electric Power,36.18
LO,Lorillard Inc,Tobacco,57.51
NOV,National-Oilwell,Oil Field Machinery & Equip,78.11
PG,Procter & Gamble Company,Soap and Cleaning Products,82.44
TMUS,T-Mobile US Inc,Wireless Rural,29.04
WFM,Whole Foods Market,Retail - Supermarket,49.13
RF,Regions Financial Corp,Banks - Southeast,10.09
CRUS,Cirrus Logic,Electronics - Semiconductors,23.46
KGC,Kinross Gold Corp,Mining - Gold,4.12
SLB,Schlumberger N.V.,Oil - Field Services,101.39
XCO,Exco Resources NL,Oil - US Exploration & Product,6.11
ABB,Abb Ltd,Machinery - Electrical,24.12
ALLY,Ally Financial,Finance - Consumer Loans,24
CVX,Chevron Corp,Oil - International Integrated,125.97
MNKD,Mannkind Corp,Medical - Biomedical,6.41
MCD,McDonald's Corp,Retail - Restaurants,101.5
FLEX,Flextronics International Ltd,Electronic Manufacturing,8.93
AMZN,Amazon.Com Inc,Internet Commerce,300.38
JNPR,Juniper Networks,Wireless Equipment,24.28
BX,The Blackstone Group L.P.,Finance - Investment Mgmt,29.99
MDR,McDermott International,Oil Field Machinery & Equip,7.04
TEVA,Teva Pharmaceutical Industries Ltd,Medical - Generic Drugs,49.56
HST,Host Marriott Financial Trust,REIT - Equity Trust Other,20.93
HUN,Huntsman Corp,Chemical - Diversified,25.13
USB,U.S. Bancorp,Banks - Major Regional,40.57
IGT,International Game Technology,Gaming,12.25
ESRX,Express Scripts,Medical Services,71.01
KOG,Kodiak Oil,Oil - US Exploration & Product,12.48
DRYS,Dryships Inc,Transportation - Ship,2.9
WIN,Windstream Holdings Inc,Wireless National,9.04
SO,Southern Company,Utility - Electric Power,46.36
ECA,Encana Corp,Oil - US Exploration & Product,23.48
LYB,Lyondellbasell Industries Nv,Chemical - Diversified,90.97
ARR,Armour Residential R,REIT - Mortgage Trusts,4.19
MAS,Masco Corp,Building & Construction - Misc,20.23
HK,Halcon Resources,Oil - US Exploration & Product,5.45
WEN,The Wendy's Company,Retail - Restaurants,8.3
MA,Mastercard Inc,Financial Transaction Services,72.03
HTZ,Hertz Global Holdings Inc,Business Services,28.18
ETN,Eaton Corp,Machinery - Electrical,72.15
TWX,Time Warner Inc,Media Conglomerates,64.74
BEE,Strategic Hotels & Resorts Inc,REIT - Equity Trust Other,10.54
BRCD,Brocade Communications Systems,Computer - Networks,9.14
AMKR,Amkor Technology,Electronics - Semiconductors,7.8
TSLA,Tesla Motors,Auto - Domestic,206.92
XOMA,Xoma Ltd,Medical - Biomedical,4.59
ALU,Alcatel Lucent,Communications Components,3.9
WDAY,Workday Inc,Internet - Software,73.3
CCJ,Cameco Corp,Mining - Misc,21.27
CBS,CBS Corp,Media Conglomerates,57.45
GNW,Genworth Financial Inc,Insurance - Life,17.39
GGB,Gerdau S.A.,Steel - Producers,6.03
ABBV,Abbvie Inc. Common Stock,Large Cap Pharma,51.37
MET,Metlife Inc,Insurance - Multi Line,51.84
HLF,Herbalife Ltd,Retail - Drug Stores,60.15
KMI,Kinder Morgan,Oil - Production & Pipeline,33.02
AES,The Aes Corp,Utility - Electric Power,14.32
HCA,Hca Holdings Inc. Common Stock,Medical - Hospitals,51.4
HIMX,Himax Technologies,Electronics - Semiconductors,8.69
SLM,SLM Corp,Finance - Consumer Loans,25.73
NE,Noble Corp,Oil & Gas - Drilling,30.83
ATML,Atmel Corp,Electronics - Semiconductors,7.86
SU,Suncor Energy Inc,Oil - C$ Integrated,38.94
FOLD,Amicus Therapeutics,Medical - Biomedical,2.22
MYL,Mylan Inc,Medical - Generic Drugs,50.88
CIT,Cit Group Inc [Del],Finance - Misc Services,43.61
CHK,Chesapeake Energy Corp,Oil - US Exploration & Product,29.08
DCT,Dct Industrial Trust Inc,REIT - Equity Trust Other,7.8
MPEL,Melco Crown Entertainment Limited,Gaming,34.58
SD,Sandridge Energy Inc,Oil - US Exploration & Product,6.8
COP,Conocophillips,Oil - US Integrated,74.68
SONS,Sonus Networks,Wireless Equipment,3.03
BIDU,Baidu Inc,Internet - Services,155.15
MRVL,Marvell Technology Group,Semi Communications,15.87
HD,Home Depot,Building Prds Retail - Wsale,79.52
SYMC,Symantec Corp,Computer - Software,20.16
SYN,Synthetic Biologics Inc,Medical - Biomedical,2.1
LLY,Eli Lilly and Company,Large Cap Pharma,59.62
SCHW,The Charles Schwab Corp,Finance - Investment Brokers,26.58
SCTY,Solarcity Corp,Solar,52.63
SNV,Synovus Financial Corp,Banks - Southeast,3.17
BBY,Best Buy Co.,Retail - Consumer Electronics,25.79
CVS,CVS Corp,Retail - Drug Stores,73.47
DHI,D.R. Horton,Building - Residential & Comm,22.38
FEYE,Fireeye Inc,Internet - Software,38.83
ACI,Arch Coal,Coal,4.47
CAT,Caterpillar Inc,Machinery - Construct & Mining,105.3
